CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.7245696400625978,0.7245696400625978,0.7245696400625978,1.4120689748038708,0.031673631197969676
"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.7241784037558685,0.7241784037558685,0.7241784037558685,1.4542353281952405,0.03168419773030169
"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.7235915492957746,0.7235915492957746,0.7235915492957746,1.4512546694894353,0.03295853887925126
"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.7233959311424101,0.7233959311424101,0.7233959311424101,1.4425812797367292,0.03172948047029021
"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.7233959311424101,0.7233959311424101,0.7233959311424101,1.4005023733550954,0.03281559854605948
"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.7224178403755869,0.7224178403755869,0.7224178403755869,1.4398932893511276,0.0317345852023559
"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.7222222222222223,0.7222222222222223,0.7222222222222223,1.4190951194002035,0.03468281618306335
"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.7214397496087637,0.7214397496087637,0.7214397496087637,1.3795081539333147,0.0369405662509757
