,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
189,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0009644031524658203,0.000997781753540039
190,MCD (PyOD),0.5,0.5,0.5,0.0009965896606445312,0.02500319480895996
191,Dummy,0.5,0.5,0.5,0.0009965896606445312,0.0
192,AutoEncoder (PyOD),0.5,0.5,0.5,0.00500035285949707,3.6749441623687744
193,Local Outlier Factor (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0020132064819335938,0.0030012130737304688
194,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.13051199913024902,0.38967418670654297
195,One Class SVM (PyOD),0.5,0.5,0.5,0.0030014514923095703,0.001996755599975586
196,MCD (PyOD),0.5,0.5,0.5,0.001435995101928711,0.02356886863708496
197,Dummy,0.5,0.5,0.5,0.0,0.0
198,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0029997825622558594,3.5249619483947754
199,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002000093460083008,0.001964092254638672
200,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.10297584533691406,0.2830328941345215
201,One Class SVM (PyOD),0.5,0.5,0.5,0.003058195114135742,0.00296783447265625
202,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0010101795196533203,0.02099776268005371
203,Dummy,0.5,0.5,0.5,0.0009942054748535156,0.0010037422180175781
204,AutoEncoder (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0030014514923095703,3.5139670372009277
205,Local Outlier Factor (PyOD),0.75,0.75,0.75,0.001001596450805664,0.003031492233276367
206,Floresta de Isolamento (PyOD),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05403566360473633,0.2509605884552002
207,One Class SVM (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0025267601013183594,0.003997802734375
208,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002000093460083008,0.01700115203857422
209,Dummy,0.5,0.5,0.5,0.0008594989776611328,0.0
210,AutoEncoder (PyOD),0.5,0.5,0.5,0.0050048828125,3.5419697761535645
211,Local Outlier Factor (PyOD),0.5,0.5,0.5,0.000997304916381836,0.0030355453491210938
212,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.04899859428405762,0.2460329532623291
213,One Class SVM (PyOD),0.5,0.5,0.5,0.002999544143676758,0.0029935836791992188
214,MCD (PyOD),0.5,0.5,0.5,0.0020096302032470703,0.02300119400024414
215,Dummy,0.5,0.5,0.5,0.002957582473754883,0.0
