CLASSIFICADOR,F1
"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.6676447574334903
"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.6635367762128326
"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.660993740219093
"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.6607981220657281
"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.6541471048513309
"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.6504303599374023
"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.6474960876369332
"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.6473004694835686
