CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
Dummy,0.0,0.0,0.0,0.0003507107707418642,0.00042150618962545167
Local Outlier Factor,0.12882165049666267,0.12882165049666267,0.12882165049666267,0.0021723476818415023,0.002194351210985697
Envelope Eliptico MCD,0.1447760235735312,0.1447760235735312,0.1447760235735312,2.5688565316335534,0.008856476809080088
Floresta de Isolamento,0.18287581198788777,0.18287581198788777,0.18287581198788777,0.008185891211960594,0.0028604476378659123
One Class SVM,0.19135873584666171,0.19135873584666171,0.19135873584666171,0.0030179594380146404,0.00316358355141715
