,CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
0,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0010311603546142578,0.0010006427764892578
1,Floresta de Isolamento,0.75,0.75,0.75,0.28596997261047363,0.06203627586364746
2,Envelope Eliptico MCD,0.5,0.5,0.5,0.07006597518920898,0.0009963512420654297
3,One Class SVM,1.0,1.0,1.0,0.0009648799896240234,0.00103759765625
4,One Class SVM (benchmark Vargas),0.5,0.5,0.5,0.0010328292846679688,0.000997304916381836
5,Floresta de Isolamento (benchmark Vargas),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14200282096862793,0.030001401901245117
6,Dummy,0.5,0.5,0.5,0.0,0.0
7,Local Outlier Factor,1.0,1.0,1.0,0.0010008811950683594,0.0019545555114746094
8,Floresta de Isolamento,0.5,0.5,0.5,0.2799661159515381,0.059035539627075195
9,Envelope Eliptico MCD,0.5,0.5,0.5,0.04263043403625488,0.0010008811950683594
10,One Class SVM,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0010039806365966797,0.0009965896606445312
11,One Class SVM (benchmark Vargas),0.75,0.75,0.75,0.0009958744049072266,0.0010001659393310547
12,Floresta de Isolamento (benchmark Vargas),0.4166666666666667,0.4166666666666667,0.4166666666666667,0.14296936988830566,0.03099989891052246
13,Dummy,0.5,0.5,0.5,0.0,0.0
14,Local Outlier Factor,1.0,1.0,1.0,0.0009996891021728516,0.002000093460083008
15,Floresta de Isolamento,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.28099966049194336,0.06300067901611328
16,Envelope Eliptico MCD,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05299735069274902,0.0009987354278564453
17,One Class SVM,0.25,0.25,0.25,0.0010004043579101562,0.0010025501251220703
18,One Class SVM (benchmark Vargas),0.5,0.5,0.5,0.0009980201721191406,0.0009996891021728516
19,Floresta de Isolamento (benchmark Vargas),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.1399977207183838,0.029999494552612305
20,Dummy,0.5,0.5,0.5,0.0,0.000993490219116211
21,Local Outlier Factor,0.75,0.75,0.75,0.000997781753540039,0.0009911060333251953
22,Floresta de Isolamento,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.2759971618652344,0.05898141860961914
23,Envelope Eliptico MCD,0.5,0.5,0.5,0.04096341133117676,0.0009992122650146484
24,One Class SVM,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0009999275207519531,0.0010013580322265625
25,One Class SVM (benchmark Vargas),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010020732879638672,0.0009975433349609375
26,Floresta de Isolamento (benchmark Vargas),0.5,0.5,0.5,0.14200139045715332,0.0299990177154541
27,Dummy,0.5,0.5,0.5,0.0009999275207519531,0.0
28,Local Outlier Factor,1.0,1.0,1.0,0.002000093460083008,0.0009984970092773438
29,Floresta de Isolamento,1.0,1.0,1.0,0.287001371383667,0.05999875068664551
30,Envelope Eliptico MCD,0.5,0.5,0.5,0.05803394317626953,0.0009961128234863281
31,One Class SVM,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.000997304916381836,0.0010008811950683594
32,One Class SVM (benchmark Vargas),0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0010061264038085938,0.0009951591491699219
33,Floresta de Isolamento (benchmark Vargas),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.1439683437347412,0.031030654907226562
34,Dummy,0.5,0.5,0.5,0.0,0.0
35,Local Outlier Factor,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0009975433349609375,0.002001523971557617
36,Floresta de Isolamento,0.75,0.75,0.75,0.27699923515319824,0.061994314193725586
37,Envelope Eliptico MCD,0.5,0.5,0.5,0.044989824295043945,0.0010213851928710938
38,One Class SVM,0.5,0.5,0.5,0.001007080078125,0.0009796619415283203
39,One Class SVM (benchmark Vargas),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0009989738464355469,0.0010075569152832031
40,Floresta de Isolamento (benchmark Vargas),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.13899946212768555,0.029002904891967773
41,Dummy,0.5,0.5,0.5,0.0,0.0
42,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0009987354278564453,0.0009915828704833984
43,Floresta de Isolamento,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.27599048614501953,0.06000852584838867
44,Envelope Eliptico MCD,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06395459175109863,0.0009984970092773438
45,One Class SVM,0.75,0.75,0.75,0.002001523971557617,0.0009992122650146484
46,One Class SVM (benchmark Vargas),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010020732879638672,0.000997781753540039
47,Floresta de Isolamento (benchmark Vargas),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.1400010585784912,0.030017852783203125
48,Dummy,0.5,0.5,0.5,0.0,0.0
49,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0019998550415039062,0.0009889602661132812
50,Floresta de Isolamento,0.75,0.75,0.75,0.27896881103515625,0.06003284454345703
51,Envelope Eliptico MCD,0.5,0.5,0.5,0.06951451301574707,0.002001047134399414
52,One Class SVM,0.5,0.5,0.5,0.0010001659393310547,0.0010037422180175781
53,One Class SVM (benchmark Vargas),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009677410125732422,0.0010001659393310547
54,Floresta de Isolamento (benchmark Vargas),0.75,0.75,0.75,0.14299631118774414,0.029999971389770508
55,Dummy,0.5,0.5,0.5,0.0,0.0
56,Local Outlier Factor,0.5,0.5,0.5,0.001993417739868164,0.0009965896606445312
57,Floresta de Isolamento,0.5,0.5,0.5,0.2750093936920166,0.05900001525878906
58,Envelope Eliptico MCD,0.5,0.5,0.5,0.016994237899780273,0.001005411148071289
59,One Class SVM,0.5,0.5,0.5,0.001001119613647461,0.0009925365447998047
60,One Class SVM (benchmark Vargas),0.25,0.25,0.25,0.0009946823120117188,0.0010063648223876953
61,Floresta de Isolamento (benchmark Vargas),0.5,0.5,0.5,0.13699603080749512,0.029999494552612305
62,Dummy,0.5,0.5,0.5,0.0,0.000997781753540039
63,Local Outlier Factor,1.0,1.0,1.0,0.0009968280792236328,0.001997232437133789
64,Floresta de Isolamento,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.27499938011169434,0.05900311470031738
65,Envelope Eliptico MCD,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.04501008987426758,0.0009999275207519531
66,One Class SVM,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009992122650146484,0.000989675521850586
67,One Class SVM (benchmark Vargas),0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0009965896606445312,0.0
68,Floresta de Isolamento (benchmark Vargas),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13800382614135742,0.0320131778717041
69,Dummy,0.5,0.5,0.5,0.0,0.0
70,Local Outlier Factor,1.0,1.0,1.0,0.0009989738464355469,0.0009911060333251953
71,Floresta de Isolamento,1.0,1.0,1.0,0.28499507904052734,0.05997014045715332
72,Envelope Eliptico MCD,1.0,1.0,1.0,0.021009445190429688,0.0010149478912353516
73,One Class SVM,0.25,0.25,0.25,0.0010004043579101562,0.000997781753540039
74,One Class SVM (benchmark Vargas),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010044574737548828,0.000997304916381836
75,Floresta de Isolamento (benchmark Vargas),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14204096794128418,0.03000497817993164
76,Dummy,0.5,0.5,0.5,0.0,0.0
77,Local Outlier Factor,1.0,1.0,1.0,0.0009996891021728516,0.0009891986846923828
78,Floresta de Isolamento,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.2790038585662842,0.05997276306152344
79,Envelope Eliptico MCD,0.75,0.75,0.75,0.06402134895324707,0.0010085105895996094
80,One Class SVM,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0009982585906982422,0.0010035037994384766
81,One Class SVM (benchmark Vargas),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0009670257568359375,0.0010335445404052734
82,Floresta de Isolamento (benchmark Vargas),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14803099632263184,0.03098893165588379
83,Dummy,0.5,0.5,0.5,0.0,0.0
84,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0009965896606445312,0.0010023117065429688
85,Floresta de Isolamento,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.28400516510009766,0.06500482559204102
86,Envelope Eliptico MCD,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.04196333885192871,0.0010013580322265625
87,One Class SVM,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010030269622802734,0.0010106563568115234
88,One Class SVM (benchmark Vargas),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009984970092773438,0.0010056495666503906
89,Floresta de Isolamento (benchmark Vargas),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.1449575424194336,0.03099966049194336
90,Dummy,0.5,0.5,0.5,0.0,0.0
91,Local Outlier Factor,1.0,1.0,1.0,0.0009999275207519531,0.001001119613647461
92,Floresta de Isolamento,1.0,1.0,1.0,0.2809784412384033,0.06000018119812012
93,Envelope Eliptico MCD,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.046000003814697266,0.0010006427764892578
94,One Class SVM,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0009975433349609375,0.0
95,One Class SVM (benchmark Vargas),0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0010030269622802734,0.0009965896606445312
96,Floresta de Isolamento (benchmark Vargas),1.0,1.0,1.0,0.14796781539916992,0.03300023078918457
97,Dummy,0.5,0.5,0.5,0.0,0.0
98,Local Outlier Factor,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0009999275207519531,0.0010004043579101562
99,Floresta de Isolamento,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.2989835739135742,0.06399822235107422
100,Envelope Eliptico MCD,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.046002864837646484,0.0020051002502441406
