CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
Dummy,0.0,0.0,0.0,0.00031847668374110745,0.0002794177537487832
Local Outlier Factor,0.14007430630732373,0.14007430630732373,0.14007430630732373,0.000523371249023453,0.0004659384915980272
Envelope Eliptico MCD,0.14154211767469688,0.14154211767469688,0.14154211767469688,0.10985060064146829,0.0003995555673712496
Floresta de Isolamento,0.1763552961387621,0.1763552961387621,0.1763552961387621,0.016149300587902055,0.003960286519664711
Floresta de Isolamento (benchmark Vargas),0.1931361884826023,0.1931361884826023,0.1931361884826023,0.009419937135235238,0.0032809087852901184
One Class SVM (benchmark Vargas),0.20363755539746095,0.20363755539746095,0.20363755539746095,0.00035661909537338917,0.00047336143874860494
One Class SVM,0.22147692479961628,0.22147692479961628,0.22147692479961628,0.0004035665935611152,0.0004370369507552923
