,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
65,Dummy,0.5,0.5,0.5,0.0009789466857910156,0.0009806156158447266
66,AutoEncoder (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.006958484649658203,3.807042121887207
67,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.007001399993896484,0.004038333892822266
68,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1449580192565918,0.675046443939209
69,One Class SVM (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.004155874252319336,0.003998279571533203
70,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0031290054321289062,0.054003000259399414
71,Dummy,0.5,0.5,0.5,0.000492095947265625,0.001455068588256836
72,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.00899052619934082,3.9459662437438965
73,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0012569427490234375,0.0027735233306884766
74,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14400649070739746,0.6069977283477783
75,One Class SVM (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.00423884391784668,0.0059969425201416016
76,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0029823780059814453,0.05600452423095703
77,Dummy,0.5,0.5,0.5,0.00199127197265625,0.0009992122650146484
78,AutoEncoder (PyOD),0.75,0.75,0.75,0.004000186920166016,3.771899700164795
79,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.002177715301513672,0.0007903575897216797
80,Floresta de Isolamento (PyOD),1.0,1.0,1.0,0.13642168045043945,0.3450508117675781
81,One Class SVM (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.003476858139038086,0.004002094268798828
82,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019998550415039062,0.02172565460205078
83,Dummy,0.5,0.5,0.5,0.0,0.0
84,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.004036664962768555,3.093963623046875
85,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0010027885437011719,0.000997304916381836
86,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.1530008316040039,0.45097827911376953
87,One Class SVM (PyOD),0.5,0.5,0.5,0.004950284957885742,0.003040790557861328
88,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002328157424926758,0.05699753761291504
89,Dummy,0.5,0.5,0.5,0.0,0.0009996891021728516
90,AutoEncoder (PyOD),0.75,0.75,0.75,0.009290695190429688,3.4699759483337402
91,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.00500941276550293,0.0019974708557128906
92,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.1438601016998291,0.6701343059539795
93,One Class SVM (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.00400233268737793,0.003992319107055664
94,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0031232833862304688,0.05603981018066406
95,Dummy,0.5,0.5,0.5,0.002966642379760742,0.0
96,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.009008169174194336,4.137942790985107
97,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.003044605255126953,0.0009720325469970703
98,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14800286293029785,0.7039906978607178
99,One Class SVM (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.003993511199951172,0.003002643585205078
100,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.004010915756225586,0.06098175048828125
101,Dummy,0.5,0.5,0.5,0.0009980201721191406,0.0
102,AutoEncoder (PyOD),0.5,0.5,0.5,0.003997802734375,3.6319379806518555
103,Local Outlier Factor (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0020017623901367188,0.002000570297241211
104,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.08683037757873535,0.3521709442138672
105,One Class SVM (PyOD),0.5,0.5,0.5,0.0010333061218261719,0.0019979476928710938
106,MCD (PyOD),0.5,0.5,0.5,0.0009996891021728516,0.019969463348388672
107,Dummy,0.5,0.5,0.5,0.0,0.0003161430358886719
108,AutoEncoder (PyOD),0.75,0.75,0.75,0.007036447525024414,4.134998798370361
109,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.004000663757324219,0.002998828887939453
110,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14199137687683105,0.7479617595672607
111,One Class SVM (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0040013790130615234,0.0019989013671875
112,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.002996206283569336,0.0679628849029541
113,Dummy,0.5,0.5,0.5,0.002999544143676758,0.0
114,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.009265661239624023,4.609959125518799
115,Local Outlier Factor (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.005011558532714844,0.003998517990112305
116,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14700746536254883,0.6920366287231445
117,One Class SVM (PyOD),0.5,0.5,0.5,0.004001617431640625,0.004042863845825195
118,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.003724336624145508,0.06398558616638184
119,Dummy,0.5,0.5,0.5,0.0030090808868408203,0.0030329227447509766
120,AutoEncoder (PyOD),0.5,0.5,0.5,0.006715059280395508,4.269097805023193
121,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.006997585296630859,0.003999948501586914
122,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14200258255004883,0.712031364440918
123,One Class SVM (PyOD),0.5,0.5,0.5,0.004006147384643555,0.002997159957885742
124,MCD (PyOD),0.5,0.5,0.5,0.0040090084075927734,0.05699491500854492
125,Dummy,0.5,0.5,0.5,0.0029973983764648438,0.0
126,AutoEncoder (PyOD),0.5,0.5,0.5,0.008009195327758789,4.175999402999878
127,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0022051334381103516,0.0029921531677246094
128,Floresta de Isolamento (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.14595746994018555,0.6749958992004395
129,One Class SVM (PyOD),0.5,0.5,0.5,0.003000974655151367,0.003000974655151367
130,MCD (PyOD),0.5,0.5,0.5,0.004016876220703125,0.06799983978271484
131,Dummy,0.5,0.5,0.5,0.0019996166229248047,0.0009999275207519531
132,AutoEncoder (PyOD),0.5,0.5,0.5,0.006993532180786133,4.657956600189209
133,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.004002571105957031,0.00400090217590332
134,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.14498448371887207,0.6649613380432129
135,One Class SVM (PyOD),0.5,0.5,0.5,0.005000114440917969,0.004981517791748047
136,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.002454519271850586,0.06299757957458496
137,Dummy,0.5,0.5,0.5,0.0029981136322021484,0.0
138,AutoEncoder (PyOD),0.5,0.5,0.5,0.007266044616699219,4.115048885345459
139,Local Outlier Factor (PyOD),1.0,1.0,1.0,0.0029985904693603516,0.0030035972595214844
140,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1389930248260498,0.6499943733215332
141,One Class SVM (PyOD),0.5,0.5,0.5,0.004387378692626953,0.0029954910278320312
142,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.005003213882446289,0.062010765075683594
143,Dummy,0.5,0.5,0.5,0.0010409355163574219,0.0
144,AutoEncoder (PyOD),0.5,0.5,0.5,0.007992744445800781,4.199041843414307
145,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.002992391586303711,0.004008054733276367
146,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.15099048614501953,0.6659598350524902
147,One Class SVM (PyOD),0.5,0.5,0.5,0.0030078887939453125,0.005006313323974609
