,CLASSIFICADOR,F1
63,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
64,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.8333333333333334
65,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
66,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
67,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
68,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
69,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
70,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
71,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
72,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
73,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
74,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
75,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
76,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
77,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
78,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
79,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
80,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
81,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
82,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
83,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.6666666666666666
84,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.75
85,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.75
86,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.6666666666666666
87,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.75
88,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
89,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
90,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
91,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
92,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
93,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
94,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
95,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
96,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
97,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
98,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
99,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
100,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
101,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
102,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
103,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
104,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
105,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
106,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
107,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
108,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
109,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
110,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
111,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
112,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
113,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
114,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
115,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
116,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
117,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
118,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
119,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
120,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
121,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
122,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
123,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
124,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
125,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
126,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
127,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
128,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
129,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
130,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
131,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
132,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
133,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
134,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5
135,"{'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5833333333333334
136,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
137,"{'batch_size': 4, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
138,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 16}",0.5833333333333334
139,"{'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'lstm_units': 8}",0.5
140,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 16}",0.5
141,"{'batch_size': 8, 'dropout': 0, 'epochs': 10, 'lstm_units': 8}",0.5
