,CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
0,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,3.0434229373931885,0.03596234321594238
1,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.452965497970581,0.037000417709350586
2,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.5512144565582275,0.03702807426452637
3,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.464576244354248,0.038050174713134766
4,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.578681468963623,0.04097580909729004
5,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.4137892723083496,0.03896284103393555
6,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4823265075683594,0.03804183006286621
7,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.5950028896331787,0.03499722480773926
8,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4480469226837158,0.03596329689025879
9,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.5409519672393799,0.03694558143615723
10,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,2.0209708213806152,0.03804302215576172
11,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.5419657230377197,0.0480349063873291
12,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4759478569030762,0.04203391075134277
13,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.7552375793457031,0.03999924659729004
14,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.3749594688415527,0.0390164852142334
15,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.4085326194763184,0.036034345626831055
16,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.9224348068237305,0.03503680229187012
17,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.4419944286346436,0.036969900131225586
18,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.5668261051177979,0.03596329689025879
19,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3839550018310547,0.03703474998474121
20,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.3506083488464355,0.03495287895202637
21,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.6420271396636963,0.04297184944152832
22,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.371713399887085,0.0350346565246582
23,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3417625427246094,0.035034894943237305
24,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4619903564453125,0.035964012145996094
25,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.902954339981079,0.04298710823059082
26,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.557962417602539,0.03800010681152344
27,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.847001314163208,0.0390017032623291
28,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4986796379089355,0.037489891052246094
29,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3839871883392334,0.03697681427001953
30,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4540488719940186,0.037961483001708984
31,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.8099794387817383,0.03797340393066406
32,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.5699646472930908,0.03899979591369629
33,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.4769995212554932,0.03800058364868164
34,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.459001064300537,0.03800034523010254
35,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,2.057030200958252,0.04197072982788086
36,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4759998321533203,0.039000749588012695
37,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.438042402267456,0.03799867630004883
38,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.6949999332427979,0.040999412536621094
39,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3960421085357666,0.03795814514160156
40,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.4509975910186768,0.03700065612792969
41,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.4240009784698486,0.0429997444152832
42,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.9260218143463135,0.036942243576049805
43,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.428999423980713,0.037966251373291016
44,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [16, 8, 8, 16]}",0.5,0.5,0.5,1.3893272876739502,0.03699898719787598
