CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 200, 'random_state': 1}",0.0,0.0,0.0,0.0034888047463953443,0.011714500970299323
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 50, 'random_state': 1}",0.0,0.0,0.0,0.0011533057824575895,0.0033799599350551215
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 1}",0.0,0.0,0.0,0.0034892186803458978,0.011556799710638612
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 100, 'random_state': 1}",0.0,0.0,0.0,0.0016766685859041627,0.006018855952216942
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.0025960813330722513,0.008801835750428342
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 200, 'random_state': 1}",0.0,0.0,0.0,0.0032580120113756615,0.011657610925461765
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 50, 'random_state': 1}",0.0,0.0,0.0,0.0009354709072708137,0.003128141666002062
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 1.0, 'max_samples': 'auto', 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.002609348891925826,0.011687294900570426
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,7.976964897973217e-05,7.901870549705366e-05
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,9.146566872663175e-05,8.84671153645853e-05
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,5.992571298262233e-05,6.568340044270078e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.00012244176537450926,6.389976094717161e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,7.335103300621023e-05,6.515795816796309e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,8.904273719966568e-05,7.038654630297387e-05
"One-Class SVM: {'gamma': 1.0, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,5.8689070317714515e-05,7.928545223790467e-05
"One-Class SVM: {'gamma': 1.0, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,7.357080286359482e-05,9.41740369841304e-05
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,6.969975405853959e-05,6.480829739169556e-05
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,7.394922082879815e-05,9.438199551339748e-05
"One-Class SVM: {'gamma': 1.0, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,9.990818415512993e-05,9.124884286049489e-05
"One-Class SVM: {'gamma': 10.0, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.00012177451647940874,0.0001086771288089956
"One-Class SVM: {'gamma': 10.0, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,5.572982951976093e-05,6.87686160851439e-05
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,8.946405205840247e-05,0.00010534131992224239
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,7.975193447597817e-05,8.94761408642112e-05
"One-Class SVM: {'gamma': 10.0, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.00011281099083495424,0.00010293503261241937
"One-Class SVM: {'gamma': 5.0, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,5.8292471498545634e-05,6.38448557623238e-05
"One-Class SVM: {'gamma': 5.0, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,9.116949722261473e-05,9.965255465069115e-05
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,6.2344662892704e-05,8.935078756453857e-05
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,5.8786379130000393e-05,8.97248296290828e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,5.9215271565733925e-05,6.520540615710422e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,6.885238514060105e-05,6.475983586846934e-05
"One-Class SVM: {'gamma': 0.1, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,9.042745000439997e-05,0.00010863317310436159
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,8.970311620792976e-05,0.00010556065337263983
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.001}",0.0,0.0,0.0,5.9903634666395765e-05,7.977678511510507e-05
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.01}",0.0,0.0,0.0,7.109142532002837e-05,7.9966937971685e-05
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,5.763113751336445e-05,7.894392316295077e-05
