CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
Local Outlier Factor,0.8587962962962963,0.8587962962962963,0.8587962962962963,0.00644634829627143,0.006224493185679118
Envelope Eliptico MCD,0.650462962962963,0.650462962962963,0.650462962962963,11.911613908078936,0.01685962412092421
Floresta de Isolamento,0.6157407407407408,0.6157407407407408,0.6157407407407408,0.08781903982162476,0.02280267079671224
One Class SVM,0.5509259259259259,0.5509259259259259,0.5509259259259259,0.006917794545491536,0.006889012124803331
Dummy,0.5,0.5,0.5,0.00013887882232666016,0.00022215313381618925
