CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
Local Outlier Factor,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.0013064742088317871,0.0013017190827263726
Floresta de Isolamento (benchmark Vargas),0.7222222222222222,0.7222222222222222,0.7222222222222222,0.1446913480758667,0.0313342809677124
Floresta de Isolamento,0.7013888888888888,0.7013888888888888,0.7013888888888888,0.2852443324195014,0.061137497425079346
Envelope Eliptico MCD,0.5856481481481481,0.5856481481481481,0.5856481481481481,0.07026540570788914,0.0011985633108350965
Dummy,0.5,0.5,0.5,0.00011102358500162761,8.30690066019694e-05
One Class SVM (benchmark Vargas),0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0011414157019721137,0.0009442567825317383
One Class SVM,0.47685185185185186,0.47685185185185186,0.47685185185185186,0.0011902517742580837,0.0009155405892266168
