CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 100, 'random_state': 1}",0.0,0.0,0.0,0.0062055206953765514,0.0017057316435993947
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.004022708770732662,0.00230406462954633
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 200, 'random_state': 1}",0.0,0.0,0.0,0.007385798583586092,0.0028803708211001876
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 'auto', 'n_estimators': 50, 'random_state': 1}",0.0,0.0,0.0,0.0017207002543188242,0.0011505097846335214
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 100, 'random_state': 1}",0.0,0.0,0.0,0.004770306539286826,0.0016587953676663236
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.0048157207233939245,0.0020687455838270968
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 200, 'random_state': 1}",0.0,0.0,0.0,0.009853126982311885,0.0029740603251352487
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 50, 'random_state': 1}",0.0,0.0,0.0,0.002004552551294985,0.0011352747695547473
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.75, 'max_samples': 1.0, 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.005250584088222098,0.0021208459686037615
"One-Class SVM: {'gamma': 'scale', 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0007159244710092578,0.0006647293104386498
"One-Class SVM: {'gamma': 'scale', 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0006717243330556703,0.0006851352254202365
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0007130448760034008,0.0006727673634679058
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0007011376069171396,0.0006701617645858125
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.00069368098835344,0.000720477368757986
"One-Class SVM: {'gamma': 0.5, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0007543278806774245,0.0006648260685254234
"One-Class SVM: {'gamma': 1.0, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.0007657484152295366,0.000691678164608695
"One-Class SVM: {'gamma': 1.0, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.0006760339838989048,0.0006871917004289241
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.000715743908030348,0.0008152497118743307
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0006834985548605957,0.0007531674371695795
"One-Class SVM: {'gamma': 1.0, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0006795796907507576,0.0006890824733124401
"One-Class SVM: {'gamma': 10.0, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.0007160889025581373,0.0006582894078228847
"One-Class SVM: {'gamma': 10.0, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.0007432281522679811,0.0007397029615373265
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0006763420293538582,0.0006485697887635589
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0006881287988526113,0.0006751236837448429
"One-Class SVM: {'gamma': 10.0, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0007138559926756248,0.0006638102489594566
"One-Class SVM: {'gamma': 5.0, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.000650856405479523,0.0007215890707204561
"One-Class SVM: {'gamma': 5.0, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.0006695055659131498,0.0006902510912301432
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0006928688323719462,0.0006928278912949338
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0006881341396222689,0.0006773877491352274
"One-Class SVM: {'gamma': 0.5, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.0007702035154065173,0.0006869139180671835
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.0007147307833958734,0.0006701080505746058
"One-Class SVM: {'gamma': 0.1, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0006902682713745622,0.0007953611336202515
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0007345309350875726,0.0006775966593658397
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.0006749702487757097,0.0006752249999429877
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.0007324729359522408,0.0007722501764165758
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0007305309856840364,0.0006594591138947091
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0006818198825847177,0.0007579456608640041
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0007102748816059357,0.0007275648969622051
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.0006759595380290211,0.0007192979317361351
"One-Class SVM: {'gamma': 0.001, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.0007056267899550726,0.0006904138898342308
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0007390573634840319,0.000704398897538395
"Floresta de Isolamento: {'bootstrap': True, 'contamination': 'auto', 'max_features': 0.5, 'max_samples': 'auto', 'n_estimators': 150, 'random_state': 1}",0.0,0.0,0.0,0.004134495370611003,0.0020497204386927936
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0006823446350899473,0.0007209321358400567
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.0007064900558563886,0.0007384081544161531
"One-Class SVM: {'gamma': 0.01, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.000710534310559291,0.0007564065841964317
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0007233355229397246,0.0006427073522944261
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 1.0}",0.0,0.0,0.0,0.0007094308635844493,0.0007199699535709758
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.0007076968595858998,0.0006678930409033015
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 1.0}",0.0,0.0,0.0,0.0006713949778410983,0.0006737183707356635
"One-Class SVM: {'gamma': 0.1, 'kernel': 'poly', 'nu': 1.0}",0.0,0.0,0.0,0.0007311608446277646,0.0007465756598618079
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 0.0001}",0.0,0.0,0.0,0.0006762432830226611,0.000672409326782257
"One-Class SVM: {'gamma': 0.001, 'kernel': 'sigmoid', 'nu': 1.0}",0.0,0.0,0.0,0.000653713252617591,0.0007422149287387613
